Name,Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Brand,Model,Kilometer_Range_Grade
AMBASSADOR CLASSIC NOVA DIESEL,Chennai,2069.5,2003,80000,Diesel,Manual,Third,12.8,1489.0,35.5,5.0,AMBASSADOR,CLASSIC NOVA DIESEL,4
AUDI A3 35 TDI ATTRACTION,Ahmedabad,26918.78,2014,84004,Diesel,Automatic,First,20.38,1968.0,143.0,5.0,AUDI,A3 35 TDI ATTRACTION,5
AUDI A3 35 TDI ATTRACTION,Chennai,25293.84,2014,79271,Diesel,Automatic,First,20.38,1968.0,143.0,5.0,AUDI,A3 35 TDI ATTRACTION,4
AUDI A3 35 TDI PREMIUM,Mumbai,29509.48,2016,20003,Diesel,Automatic,First,20.38,1968.0,143.0,5.0,AUDI,A3 35 TDI PREMIUM,2
AUDI A3 35 TDI PREMIUM PLUS,Mumbai,28972.94,2016,39000,Diesel,Automatic,First,20.38,1968.0,143.0,5.0,AUDI,A3 35 TDI PREMIUM PLUS,2
AUDI A3 35 TDI PREMIUM PLUS,Hyderabad,35886.595,2015,52300,Diesel,Automatic,First,20.38,1968.0,143.0,5.0,AUDI,A3 35 TDI PREMIUM PLUS,3
AUDI A3 35 TDI TECHNOLOGY,Delhi,34491.6,2017,22000,Diesel,Automatic,Second,20.38,1968.0,143.0,5.0,AUDI,A3 35 TDI TECHNOLOGY,2
AUDI A4 1.8 TFSI,Kolkata,13030.16,2010,38001,Petrol,Automatic,First,12.3,1781.0,163.2,5.0,AUDI,A4 1.8 TFSI,2
AUDI A4 1.8 TFSI,Mumbai,14563.12,2011,53000,Petrol,Automatic,First,12.3,1781.0,163.2,5.0,AUDI,A4 1.8 TFSI,3
AUDI A4 1.8 TFSI TECHNOLOGY EDITION,Hyderabad,26826.8,2012,80000,Petrol,Automatic,First,15.64,1798.0,167.62,5.0,AUDI,A4 1.8 TFSI TECHNOLOGY EDITION,4
AUDI A4 2.0 TDI,Bangalore,21461.44,2014,21143,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,AUDI,A4 2.0 TDI,2
AUDI A4 2.0 TDI,Kochi,23316.32,2014,55730,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,AUDI,A4 2.0 TDI,3
AUDI A4 2.0 TDI,Delhi,21461.44,2013,36000,Diesel,Automatic,Second,16.55,1968.0,147.51,5.0,AUDI,A4 2.0 TDI,2
AUDI A4 2.0 TDI,Kolkata,22227.92,2012,47346,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,AUDI,A4 2.0 TDI,3
AUDI A4 2.0 TDI,Delhi,16847.23,2011,46000,Diesel,Automatic,Second,16.55,1968.0,147.51,5.0,AUDI,A4 2.0 TDI,3
AUDI A4 2.0 TDI,Bangalore,25102.22,2014,65475,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,AUDI,A4 2.0 TDI,4
AUDI A4 2.0 TDI,Hyderabad,27593.28,2011,54000,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,AUDI,A4 2.0 TDI,3
AUDI A4 2.0 TDI,Hyderabad,25102.22,2011,64000,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,AUDI,A4 2.0 TDI,4
AUDI A4 2.0 TDI,Delhi,25102.22,2012,70000,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,AUDI,A4 2.0 TDI,4
AUDI A4 2.0 TDI,Kolkata,15252.95,2009,34000,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,AUDI,A4 2.0 TDI,2
AUDI A4 2.0 TDI,Bangalore,21461.44,2013,46000,Diesel,Automatic,Second,16.55,1968.0,147.51,5.0,AUDI,A4 2.0 TDI,3
AUDI A4 2.0 TDI,Bangalore,34491.6,2014,37600,Diesel,Automatic,Second,16.55,1968.0,147.51,5.0,AUDI,A4 2.0 TDI,2
AUDI A4 2.0 TDI,Bangalore,27976.52,2013,76000,Diesel,Automatic,Second,16.55,1968.0,147.51,5.0,AUDI,A4 2.0 TDI,4
AUDI A4 2.0 TDI,Hyderabad,29892.72,2013,52000,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,AUDI,A4 2.0 TDI,3
AUDI A4 2.0 TDI,Ahmedabad,26826.8,2013,82002,Diesel,Automatic,Second,16.55,1968.0,147.51,5.0,AUDI,A4 2.0 TDI,5
AUDI A4 2.0 TDI,Delhi,22227.92,2013,67000,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,AUDI,A4 2.0 TDI,4
AUDI A4 2.0 TDI,Mumbai,20694.96,2013,45200,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,AUDI,A4 2.0 TDI,3
AUDI A4 2.0 TDI,Kolkata,15252.95,2009,46000,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,AUDI,A4 2.0 TDI,3
AUDI A4 2.0 TDI,Kolkata,13030.16,2009,46000,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,AUDI,A4 2.0 TDI,3
AUDI A4 2.0 TDI,Hyderabad,21384.79,2011,85000,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,AUDI,A4 2.0 TDI,5
AUDI A4 2.0 TDI,Kochi,20219.74,2013,45330,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,AUDI,A4 2.0 TDI,3
AUDI A4 2.0 TDI,Hyderabad,36791.04,2014,60000,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,AUDI,A4 2.0 TDI,3
AUDI A4 2.0 TDI 177 BHP PREMIUM PLUS,Bangalore,29892.72,2013,45979,Diesel,Automatic,Second,17.11,1968.0,174.33,5.0,AUDI,A4 2.0 TDI 177 BHP PREMIUM PLUS,3
AUDI A4 2.0 TDI 177 BHP PREMIUM PLUS,Kolkata,22227.92,2013,60001,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,AUDI,A4 2.0 TDI 177 BHP PREMIUM PLUS,4
AUDI A4 2.0 TDI 177 BHP PREMIUM PLUS,Chennai,33725.12,2014,40000,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,AUDI,A4 2.0 TDI 177 BHP PREMIUM PLUS,2
AUDI A4 2.0 TDI 177 BHP PREMIUM PLUS,Coimbatore,38799.22,2015,32205,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,AUDI,A4 2.0 TDI 177 BHP PREMIUM PLUS,2
