scale,steel_kind,pt_thick,pt_width,pt_length,hsb,fur_heat_temp,fur_heat_time,fur_soak_temp,fur_soak_time,rolling_method,rolling_temp,descaling_count,fur_preheat_time,furnace
0,T,32,3700,15100,적용,1144,116,1133,59,TMCP(온도제어),934,8,84,1호기1열
0,T,32,3700,15100,적용,1144,122,1135,53,TMCP(온도제어),937,8,63,1호기2열
0,T,33,3600,19200,적용,1129,116,1121,55,TMCP(온도제어),889,8,87,2호기1열
0,T,33,3600,19200,적용,1152,125,1127,68,TMCP(온도제어),885,8,73,2호기2열
0,T,38,3100,13300,적용,1140,134,1128,48,TMCP(온도제어),873,8,64,3호기1열
0,T,38,3100,13300,적용,1143,127,1128,57,TMCP(온도제어),874,8,71,3호기2열
0,T,38,3100,16700,적용,1138,126,1130,50,TMCP(온도제어),878,8,102,1호기1열
0,T,38,3100,16700,적용,1139,126,1131,52,TMCP(온도제어),870,8,94,1호기2열
0,T,38,3100,16700,적용,1127,126,1122,52,TMCP(온도제어),873,8,63,2호기1열
1,T,38,3100,16200,적용,1135,119,1124,73,TMCP(온도제어),881,7,98,2호기2열
0,T,38,3100,16200,적용,1135,119,1124,73,CR(제어압연),881,8,69,2호기2열
0,T,38,3100,16200,적용,1127,134,1123,58,TMCP(온도제어),869,8,60,3호기1열
0,T,38,3100,16200,적용,1127,134,1123,58,CR(제어압연),869,8,67,3호기1열
0,T,38,3100,16200,적용,1132,125,1127,62,TMCP(온도제어),820,8,93,1호기1열
0,T,38,3100,16200,적용,1132,125,1127,62,CR(제어압연),820,8,99,1호기1열
1,T,38,3100,16200,적용,1131,120,1125,68,CR(제어압연),1057,8,71,3호기2열
0,T,30,1900,34800,적용,1119,130,1120,65,TMCP(온도제어),926,8,94,1호기2열
0,T,30,1900,34800,적용,1119,130,1120,65,CR(제어압연),926,8,87,1호기2열
0,T,34,2200,30500,적용,1119,126,1119,72,CR(제어압연),931,8,65,2호기1열
0,T,34,2200,30500,적용,1119,126,1119,72,TMCP(온도제어),931,8,56,2호기1열
1,T,50,2200,21800,적용,1127,127,1123,71,TMCP(온도제어),929,5,88,3호기1열
0,T,50,2200,21800,적용,1134,127,1124,92,TMCP(온도제어),929,6,74,2호기2열
0,T,50,2200,21800,적용,1124,117,1124,87,TMCP(온도제어),929,6,85,3호기2열
0,T,50,2200,21800,적용,1129,122,1125,78,TMCP(온도제어),925,6,102,1호기1열
0,T,50,2200,21800,적용,1124,73,1127,78,TMCP(온도제어),928,6,86,2호기2열
0,T,50,2000,24500,적용,1110,123,1116,81,TMCP(온도제어),860,6,99,1호기2열
0,T,44,2000,27500,적용,1114,64,1120,82,TMCP(온도제어),836,6,94,2호기1열
0,T,44,2000,27500,적용,1113,124,1120,82,TMCP(온도제어),832,6,70,3호기1열
0,T,48,2100,24500,적용,1118,71,1124,86,TMCP(온도제어),832,6,59,3호기2열
0,T,48,2100,24500,적용,1117,69,1120,88,TMCP(온도제어),832,6,83,1호기1열
0,T,48,2000,25600,적용,1108,62,1117,97,TMCP(온도제어),841,6,60,1호기2열
